Place	Dist	Sch	Nod	TxPW	SucDec	DecTot	Lost	NumTrans	TotTrans	MeanRSSI
1	1	BNC	0	18	50	50	0	96	100	-69
1	1	BNC	0	18	50	50	0	95	100	-68
1	1	BNC	0	18	50	50	0	93	100	-68
1	1	BNC	0	18	50	50	0	95	100	-67
1	1	BNC	0	18	50	50	0	96	100	-67
1	1	BNC	0	18	50	50	0	97	100	-67
1	1	BNC	0	18	49	50	1	90	100	-67
1	1	BNC	0	18	50	50	0	99	100	-67
1	1	BNC	0	18	50	50	0	96	100	-68
1	1	BNC	0	18	50	50	0	97	100	-68
1	1	BNC	0	18	50	50	0	91	100	-68
1	1	BNC	0	18	48	50	2	91	100	-66
1	1	BNC	0	18	50	50	0	85	100	-67
1	1	BNC	0	18	50	50	0	96	100	-68
1	1	BNC	0	18	50	50	0	96	100	-68
1	1	BNC	0	18	50	50	0	100	100	-69
1	1	BNC	0	18	50	50	0	99	100	-68
1	1	BNC	0	18	50	50	0	94	100	-70
1	1	BNC	0	18	50	50	0	99	100	-66
1	1	BNC	0	18	50	50	0	96	100	-66
1	1	BNC	0	18	50	50	0	90	100	-68
1	1	BNC	0	18	50	50	0	95	100	-68
1	1	BNC	0	18	50	50	0	96	100	-66
1	1	BNC	0	18	50	50	0	87	100	-66
1	1	BNC	0	18	50	50	0	97	100	-64
1	1	BNC	0	18	50	50	0	96	100	-66
1	1	BNC	0	18	50	50	0	96	100	-64
1	1	BNC	0	18	50	50	0	91	100	-67
1	1	BNC	0	18	50	50	0	95	100	-67
1	1	BNC	0	18	50	50	0	91	100	-67
1	1	BNC	0	18	49	50	1	90	100	-65
1	1	BNC	0	18	50	50	0	98	100	-66
1	1	BNC	0	18	50	50	0	97	100	-66
1	1	BNC	0	18	49	50	1	94	100	-64
1	1	BNC	0	18	50	50	0	93	100	-66
1	1	BNC	0	18	50	50	0	98	100	-64
1	1	BNC	0	18	49	50	1	94	100	-64
1	1	BNC	0	18	50	50	0	96	100	-65
1	1	BNC	0	18	49	50	1	87	100	-66
1	1	BNC	0	18	50	50	0	99	100	-66
1	1	BNC	0	18	50	50	0	92	100	-66
1	1	BNC	0	18	50	50	0	93	100	-67
1	1	BNC	0	18	50	50	0	91	100	-65
1	1	BNC	0	18	50	50	0	94	100	-67
1	1	BNC	0	18	50	50	0	97	100	-67
1	1	BNC	0	18	50	50	0	97	100	-65
1	1	BNC	0	18	50	50	0	99	100	-66
1	1	BNC	0	18	50	50	0	100	100	-67
1	1	BNC	0	18	50	50	0	99	100	-67
1	1	BNC	0	18	50	50	0	86	100	-68
1	1	BNC	0	18	50	50	0	98	100	-68
1	1	BNC	0	18	50	50	0	96	100	-67
1	1	BNC	1	18	47	50	3	80	100	-64
1	1	BNC	1	18	47	50	3	85	100	-64
1	1	BNC	1	18	49	50	1	78	100	-64
1	1	BNC	1	18	49	50	1	86	100	-64
1	1	BNC	1	18	49	50	1	85	100	-64
1	1	BNC	1	18	49	50	1	86	100	-64
1	1	BNC	1	18	49	50	1	83	100	-64
1	1	BNC	1	18	49	50	1	84	100	-64
1	1	BNC	1	18	50	50	0	92	100	-63
1	1	BNC	1	18	50	50	0	87	100	-63
1	1	BNC	1	18	50	50	0	87	100	-63
1	1	BNC	1	18	49	50	1	89	100	-63
1	1	BNC	1	18	50	50	0	89	100	-62
1	1	BNC	1	18	50	50	0	94	100	-63
1	1	BNC	1	18	50	50	0	86	100	-63
1	1	BNC	1	18	50	50	0	93	100	-63
1	1	BNC	1	18	50	50	0	93	100	-63
1	1	BNC	1	18	50	50	0	96	100	-64
1	1	BNC	1	18	49	50	1	90	100	-65
1	1	BNC	1	18	50	50	0	95	100	-65
1	1	BNC	1	18	50	50	0	91	100	-63
1	1	BNC	1	18	50	50	0	94	100	-64
1	1	BNC	1	18	50	50	0	96	100	-65
1	1	BNC	1	18	49	50	1	86	100	-66
1	1	BNC	1	18	50	50	0	94	100	-65
1	1	BNC	1	18	50	50	0	89	100	-65
1	1	BNC	1	18	49	50	1	89	100	-67
1	1	BNC	1	18	50	50	0	91	100	-66
1	1	BNC	1	18	50	50	0	84	100	-66
1	1	BNC	1	18	49	50	1	85	100	-66
1	1	BNC	1	18	50	50	0	97	100	-65
1	1	BNC	1	18	49	50	1	89	100	-66
1	1	BNC	1	18	50	50	0	84	100	-65
1	1	BNC	1	18	50	50	0	84	100	-64
1	1	BNC	1	18	49	50	1	92	100	-63
1	1	BNC	1	18	50	50	0	94	100	-65
1	1	BNC	1	18	50	50	0	84	100	-65
1	1	BNC	1	18	46	50	4	82	100	-65
1	1	BNC	1	18	49	50	1	89	100	-67
1	1	BNC	1	18	50	50	0	94	100	-67
1	1	BNC	1	18	50	50	0	91	100	-66
1	1	BNC	1	18	50	50	0	85	100	-67
1	1	BNC	1	18	50	50	0	89	100	-65
1	1	BNC	1	18	49	50	1	90	100	-65
1	1	BNC	1	18	50	50	0	96	100	-65
1	1	BNC	1	18	50	50	0	94	100	-67
1	1	BNC	1	18	50	50	0	95	100	-67
1	1	BNC	1	18	50	50	0	97	100	-62
1	1	BNC	1	18	50	50	0	99	100	-62
1	1	BNC	1	18	50	50	0	95	100	-64
1	1	BNC	1	18	50	50	0	95	100	-63
1	1	BNC	1	18	50	50	0	95	100	-64
1	1	DAF	0	18	47	50	3	87	100	-70
1	1	DAF	0	18	50	50	0	94	100	-67
1	1	DAF	0	18	47	50	3	97	100	-67
1	1	DAF	0	18	47	50	3	90	100	-67
1	1	DAF	0	18	50	50	0	95	100	-68
1	1	DAF	0	18	49	50	1	95	100	-67
1	1	DAF	0	18	46	50	4	87	100	-67
1	1	DAF	0	18	48	50	2	92	100	-67
1	1	DAF	0	18	50	50	0	89	100	-71
1	1	DAF	0	18	48	50	2	93	100	-68
1	1	DAF	0	18	45	50	5	79	100	-68
1	1	DAF	0	18	47	50	3	80	100	-69
1	1	DAF	0	18	50	50	0	97	100	-67
1	1	DAF	0	18	50	50	0	98	100	-69
1	1	DAF	0	18	50	50	0	98	100	-68
1	1	DAF	0	18	50	50	0	98	100	-68
1	1	DAF	0	18	50	50	0	93	100	-66
1	1	DAF	0	18	50	50	0	99	100	-65
1	1	DAF	0	18	48	50	2	86	100	-68
1	1	DAF	0	18	50	50	0	99	100	-67
1	1	DAF	0	18	50	50	0	94	100	-67
1	1	DAF	0	18	46	50	4	87	100	-68
1	1	DAF	0	18	50	50	0	98	100	-65
1	1	DAF	0	18	49	50	1	96	100	-66
1	1	DAF	0	18	50	50	0	100	100	-65
1	1	DAF	0	18	50	50	0	99	100	-66
1	1	DAF	0	18	49	50	1	89	100	-67
1	1	DAF	0	18	49	50	1	94	100	-68
1	1	DAF	0	18	48	50	2	90	100	-66
1	1	DAF	0	18	50	50	0	96	100	-65
1	1	DAF	0	18	49	50	1	97	100	-65
1	1	DAF	0	18	47	50	3	91	100	-65
1	1	DAF	0	18	50	50	0	98	100	-64
1	1	DAF	0	18	50	50	0	98	100	-64
1	1	DAF	0	18	48	50	2	92	100	-64
1	1	DAF	0	18	49	50	1	99	100	-64
1	1	DAF	0	18	50	50	0	99	100	-66
1	1	DAF	0	18	50	50	0	100	100	-65
1	1	DAF	0	18	48	50	2	93	100	-66
1	1	DAF	0	18	48	50	2	95	100	-65
1	1	DAF	0	18	46	50	4	92	100	-66
1	1	DAF	0	18	49	50	1	95	100	-66
1	1	DAF	0	18	50	50	0	99	100	-66
1	1	DAF	0	18	50	50	0	98	100	-64
1	1	DAF	0	18	49	50	1	98	100	-65
1	1	DAF	0	18	49	50	1	95	100	-66
1	1	DAF	0	18	50	50	0	99	100	-67
1	1	DAF	0	18	49	50	1	94	100	-68
1	1	DAF	0	18	50	50	0	97	100	-68
1	1	DAF	0	18	47	50	3	96	100	-67
1	1	DAF	1	18	46	50	4	87	100	-63
1	1	DAF	1	18	43	50	7	83	100	-63
1	1	DAF	1	18	45	50	5	87	100	-64
1	1	DAF	1	18	47	50	3	90	100	-64
1	1	DAF	1	18	44	50	6	83	100	-64
1	1	DAF	1	18	45	50	5	88	100	-64
1	1	DAF	1	18	45	50	5	82	100	-64
1	1	DAF	1	18	49	50	1	93	100	-63
1	1	DAF	1	18	48	50	2	95	100	-64
1	1	DAF	1	18	42	50	8	88	100	-63
1	1	DAF	1	18	46	50	4	84	100	-63
1	1	DAF	1	18	41	50	9	85	100	-63
1	1	DAF	1	18	49	50	1	91	100	-63
1	1	DAF	1	18	49	50	1	96	100	-63
1	1	DAF	1	18	46	50	4	94	100	-63
1	1	DAF	1	18	47	50	3	93	100	-63
1	1	DAF	1	18	49	50	1	92	100	-64
1	1	DAF	1	18	45	50	5	94	100	-65
1	1	DAF	1	18	49	50	1	94	100	-63
1	1	DAF	1	18	46	50	4	92	100	-63
1	1	DAF	1	18	43	50	7	86	100	-65
1	1	DAF	1	18	43	50	7	79	100	-65
1	1	DAF	1	18	43	50	7	86	100	-66
1	1	DAF	1	18	48	50	2	93	100	-65
1	1	DAF	1	18	47	50	3	90	100	-65
1	1	DAF	1	18	48	50	2	89	100	-66
1	1	DAF	1	18	45	50	5	84	100	-66
1	1	DAF	1	18	47	50	3	90	100	-66
1	1	DAF	1	18	48	50	2	86	100	-66
1	1	DAF	1	18	47	50	3	94	100	-66
1	1	DAF	1	18	50	50	0	93	100	-66
1	1	DAF	1	18	48	50	2	89	100	-65
1	1	DAF	1	18	48	50	2	91	100	-64
1	1	DAF	1	18	50	50	0	94	100	-64
1	1	DAF	1	18	45	50	5	84	100	-64
1	1	DAF	1	18	47	50	3	92	100	-65
1	1	DAF	1	18	45	50	5	88	100	-67
1	1	DAF	1	18	45	50	5	91	100	-67
1	1	DAF	1	18	50	50	0	97	100	-66
1	1	DAF	1	18	46	50	4	89	100	-67
1	1	DAF	1	18	44	50	6	84	100	-66
1	1	DAF	1	18	45	50	5	89	100	-65
1	1	DAF	1	18	50	50	0	93	100	-65
1	1	DAF	1	18	50	50	0	89	100	-68
1	1	DAF	1	18	49	50	1	90	100	-67
1	1	DAF	1	18	49	50	1	94	100	-62
1	1	DAF	1	18	48	50	2	95	100	-62
1	1	DAF	1	18	47	50	3	94	100	-64
1	1	DAF	1	18	49	50	1	94	100	-63
1	1	DAF	1	18	50	50	0	97	100	-64
1	1	DNC	0	18	49	50	1	95	100	-68
1	1	DNC	0	18	50	50	0	87	100	-68
1	1	DNC	0	18	50	50	0	80	100	-67
1	1	DNC	0	18	50	50	0	86	100	-68
1	1	DNC	0	18	49	50	1	95	100	-67
1	1	DNC	0	18	50	50	0	96	100	-67
1	1	DNC	0	18	50	50	0	88	100	-67
1	1	DNC	0	18	50	50	0	96	100	-67
1	1	DNC	0	18	50	50	0	94	100	-68
1	1	DNC	0	18	50	50	0	92	100	-68
1	1	DNC	0	18	48	50	2	79	100	-69
1	1	DNC	0	18	50	50	0	94	100	-67
1	1	DNC	0	18	50	50	0	89	100	-67
1	1	DNC	0	18	50	50	0	98	100	-67
1	1	DNC	0	18	50	50	0	95	100	-69
1	1	DNC	0	18	50	50	0	94	100	-69
1	1	DNC	0	18	50	50	0	99	100	-68
1	1	DNC	0	18	50	50	0	95	100	-70
1	1	DNC	0	18	50	50	0	97	100	-66
1	1	DNC	0	18	50	50	0	94	100	-65
1	1	DNC	0	18	50	50	0	94	100	-68
1	1	DNC	0	18	50	50	0	100	100	-68
1	1	DNC	0	18	50	50	0	99	100	-66
1	1	DNC	0	18	50	50	0	97	100	-67
1	1	DNC	0	18	50	50	0	100	100	-66
1	1	DNC	0	18	50	50	0	95	100	-64
1	1	DNC	0	18	50	50	0	99	100	-67
1	1	DNC	0	18	50	50	0	97	100	-67
1	1	DNC	0	18	50	50	0	96	100	-66
1	1	DNC	0	18	50	50	0	95	100	-65
1	1	DNC	0	18	50	50	0	98	100	-65
1	1	DNC	0	18	50	50	0	95	100	-64
1	1	DNC	0	18	50	50	0	100	100	-66
1	1	DNC	0	18	49	50	1	88	100	-64
1	1	DNC	0	18	49	50	1	93	100	-64
1	1	DNC	0	18	49	50	1	96	100	-66
1	1	DNC	0	18	50	50	0	93	100	-65
1	1	DNC	0	18	50	50	0	96	100	-66
1	1	DNC	0	18	50	50	0	97	100	-65
1	1	DNC	0	18	49	50	1	95	100	-66
1	1	DNC	0	18	50	50	0	90	100	-65
1	1	DNC	0	18	50	50	0	99	100	-65
1	1	DNC	0	18	49	50	1	91	100	-65
1	1	DNC	0	18	50	50	0	100	100	-65
1	1	DNC	0	18	50	50	0	98	100	-65
1	1	DNC	0	18	49	50	1	95	100	-67
1	1	DNC	0	18	50	50	0	90	100	-67
1	1	DNC	0	18	50	50	0	94	100	-68
1	1	DNC	0	18	50	50	0	98	100	-68
1	1	DNC	1	18	49	50	1	90	100	-63
1	1	DNC	1	18	48	50	2	81	100	-64
1	1	DNC	1	18	48	50	2	85	100	-64
1	1	DNC	1	18	48	50	2	73	100	-64
1	1	DNC	1	18	47	50	3	80	100	-64
1	1	DNC	1	18	50	50	0	90	100	-64
1	1	DNC	1	18	49	50	1	80	100	-64
1	1	DNC	1	18	49	50	1	89	100	-65
1	1	DNC	1	18	49	50	1	88	100	-63
1	1	DNC	1	18	49	50	1	87	100	-63
1	1	DNC	1	18	50	50	0	86	100	-63
1	1	DNC	1	18	50	50	0	91	100	-63
1	1	DNC	1	18	48	50	2	88	100	-62
1	1	DNC	1	18	49	50	1	87	100	-63
1	1	DNC	1	18	50	50	0	88	100	-63
1	1	DNC	1	18	49	50	1	96	100	-63
1	1	DNC	1	18	50	50	0	97	100	-63
1	1	DNC	1	18	50	50	0	92	100	-65
1	1	DNC	1	18	49	50	1	92	100	-65
1	1	DNC	1	18	50	50	0	88	100	-64
1	1	DNC	1	18	49	50	1	90	100	-64
1	1	DNC	1	18	50	50	0	91	100	-63
