Place	Dist	Sch	Nod	TxPW	SucDec	DecTot	Lost	NumTrans	TotTrans	MeanRSSI
3	1	BNC	0	18	50	50	0	146	150	-69
3	1	BNC	0	18	50	50	0	142	150	-69
3	1	BNC	0	18	50	50	0	145	150	-69
3	1	BNC	0	18	50	50	0	130	150	-69
3	1	BNC	0	18	50	50	0	145	150	-69
3	1	BNC	0	18	50	50	0	126	150	-69
3	1	BNC	0	18	50	50	0	135	150	-69
3	1	BNC	0	18	50	50	0	141	150	-69
3	1	BNC	0	18	50	50	0	131	150	-69
3	1	BNC	0	18	50	50	0	146	150	-69
3	1	BNC	0	18	50	50	0	134	150	-69
3	1	BNC	0	18	50	50	0	141	150	-69
3	1	BNC	0	18	50	50	0	142	150	-69
3	1	BNC	0	18	50	50	0	142	150	-69
3	1	BNC	0	18	50	50	0	128	150	-69
3	1	BNC	0	18	50	50	0	139	150	-69
3	1	BNC	0	18	50	50	0	142	150	-69
3	1	BNC	0	18	50	50	0	145	150	-69
3	1	BNC	0	18	50	50	0	139	150	-69
3	1	BNC	0	18	50	50	0	143	150	-69
3	1	BNC	0	18	50	50	0	144	150	-69
3	1	BNC	0	18	50	50	0	141	150	-69
3	1	BNC	0	18	50	50	0	146	150	-69
3	1	BNC	0	18	50	50	0	147	150	-69
3	1	BNC	0	18	50	50	0	137	150	-69
3	1	BNC	0	18	50	50	0	122	150	-69
3	1	BNC	0	18	50	50	0	125	150	-69
3	1	BNC	0	18	50	50	0	133	150	-69
3	1	BNC	0	18	50	50	0	120	150	-69
3	1	BNC	0	18	50	50	0	136	150	-69
3	1	BNC	0	18	50	50	0	108	150	-69
3	1	BNC	0	18	50	50	0	128	150	-69
3	1	BNC	0	18	50	50	0	111	150	-69
3	1	BNC	0	18	49	50	1	127	150	-69
3	1	BNC	0	18	50	50	0	110	150	-69
3	1	BNC	0	18	50	50	0	120	150	-69
3	1	BNC	0	18	50	50	0	120	150	-69
3	1	BNC	0	18	49	50	1	113	150	-69
3	1	BNC	0	18	50	50	0	117	150	-69
3	1	BNC	0	18	47	50	3	109	150	-69
3	1	BNC	0	18	50	50	0	108	150	-69
3	1	BNC	0	18	50	50	0	124	150	-69
3	1	BNC	0	18	49	50	1	80	150	-69
3	1	BNC	0	18	49	50	1	119	150	-69
3	1	BNC	0	18	49	50	1	112	150	-69
3	1	BNC	0	18	50	50	0	105	150	-69
3	1	BNC	0	18	48	50	2	101	150	-69
3	1	BNC	1	18	50	50	0	131	150	-66
3	1	BNC	1	18	50	50	0	136	150	-65
3	1	BNC	1	18	50	50	0	140	150	-65
3	1	BNC	1	18	50	50	0	132	150	-65
3	1	BNC	1	18	50	50	0	145	150	-65
3	1	BNC	1	18	50	50	0	130	150	-66
3	1	BNC	1	18	50	50	0	134	150	-66
3	1	BNC	1	18	50	50	0	142	150	-65
3	1	BNC	1	18	50	50	0	128	150	-65
3	1	BNC	1	18	50	50	0	142	150	-65
3	1	BNC	1	18	50	50	0	133	150	-65
3	1	BNC	1	18	50	50	0	141	150	-65
3	1	BNC	1	18	50	50	0	135	150	-65
3	1	BNC	1	18	50	50	0	135	150	-65
3	1	BNC	1	18	50	50	0	119	150	-65
3	1	BNC	1	18	50	50	0	138	150	-65
3	1	BNC	1	18	50	50	0	144	150	-65
3	1	BNC	1	18	50	50	0	136	150	-65
3	1	BNC	1	18	50	50	0	140	150	-65
3	1	BNC	1	18	50	50	0	136	150	-65
3	1	BNC	1	18	50	50	0	146	150	-65
3	1	BNC	1	18	50	50	0	145	150	-65
3	1	BNC	1	18	50	50	0	125	150	-65
3	1	BNC	1	18	50	50	0	139	150	-65
3	1	BNC	1	18	50	50	0	143	150	-65
3	1	BNC	1	18	50	50	0	136	150	-65
3	1	BNC	1	18	50	50	0	129	150	-65
