Place	Dist	Sch	Nod	TxPW	SucDec	DecTot	Lost	NumTrans	TotTrans	MeanRSSI
2	1	BNC	0	18	100	100	0	182	200	-50
2	1	BNC	0	18	100	100	0	189	200	-51
2	1	BNC	0	18	100	100	0	186	200	-51
2	1	BNC	0	18	100	100	0	182	200	-51
2	1	BNC	0	18	100	100	0	178	200	-51
2	1	BNC	0	18	100	100	0	181	200	-51
2	1	BNC	0	18	100	100	0	181	200	-51
2	1	BNC	0	18	100	100	0	186	200	-52
2	1	BNC	0	18	99	100	1	180	200	-52
2	1	BNC	0	18	100	100	0	185	200	-52
2	1	BNC	0	18	100	100	0	176	200	-52
2	1	BNC	0	18	100	100	0	182	200	-51
2	1	BNC	0	18	100	100	0	182	200	-52
2	1	BNC	0	18	100	100	0	175	200	-52
2	1	BNC	0	18	100	100	0	190	200	-52
2	1	BNC	0	18	99	100	1	179	200	-52
2	1	BNC	0	18	100	100	0	183	200	-52
2	1	BNC	0	18	99	100	1	171	200	-52
2	1	BNC	0	18	99	100	1	180	200	-52
2	1	BNC	0	18	99	100	1	178	200	-52
2	1	BNC	0	18	100	100	0	182	200	-53
2	1	BNC	0	18	100	100	0	184	200	-53
2	1	BNC	0	18	100	100	0	182	200	-53
2	1	BNC	0	18	99	100	1	173	200	-52
2	1	BNC	0	18	100	100	0	184	200	-52
2	1	BNC	0	18	99	100	1	179	200	-52
2	1	BNC	0	18	100	100	0	185	200	-52
2	1	BNC	0	18	99	100	1	177	200	-52
2	1	BNC	0	18	99	100	1	175	200	-52
2	1	BNC	1	18	100	100	0	184	200	-57
2	1	BNC	1	18	100	100	0	191	200	-58
2	1	BNC	1	18	100	100	0	181	200	-58
2	1	BNC	1	18	100	100	0	176	200	-58
2	1	BNC	1	18	100	100	0	173	200	-58
2	1	BNC	1	18	100	100	0	181	200	-58
2	1	BNC	1	18	100	100	0	190	200	-58
2	1	BNC	1	18	100	100	0	180	200	-58
2	1	BNC	1	18	100	100	0	175	200	-58
2	1	BNC	1	18	100	100	0	183	200	-58
2	1	BNC	1	18	100	100	0	180	200	-58
2	1	BNC	1	18	99	100	1	177	200	-58
2	1	BNC	1	18	95	100	5	136	200	-60
2	1	BNC	1	18	94	100	6	146	200	-60
2	1	BNC	1	18	97	100	3	161	200	-60
2	1	BNC	1	18	99	100	1	169	200	-60
2	1	BNC	1	18	99	100	1	169	200	-60
2	1	BNC	1	18	100	100	0	170	200	-61
2	1	BNC	1	18	97	100	3	163	200	-61
2	1	BNC	1	18	100	100	0	175	200	-61
2	1	BNC	1	18	98	100	2	164	200	-62
2	1	BNC	1	18	100	100	0	173	200	-61
2	1	BNC	1	18	98	100	2	165	200	-62
2	1	BNC	1	18	99	100	1	174	200	-62
2	1	BNC	1	18	100	100	0	179	200	-62
2	1	BNC	1	18	99	100	1	169	200	-62
2	1	BNC	1	18	99	100	1	167	200	-62
2	1	BNC	1	18	99	100	1	170	200	-62
2	1	BNC	1	18	98	100	2	172	200	-61
2	1	DAF	0	18	99	100	1	187	200	-50
2	1	DAF	0	18	99	100	1	187	200	-50
2	1	DAF	0	18	97	100	3	188	200	-52
2	1	DAF	0	18	97	100	3	178	200	-51
2	1	DAF	0	18	99	100	1	184	200	-51
2	1	DAF	0	18	100	100	0	184	200	-51
2	1	DAF	0	18	99	100	1	185	200	-51
2	1	DAF	0	18	99	100	1	181	200	-51
2	1	DAF	0	18	100	100	0	182	200	-51
2	1	DAF	0	18	98	100	2	185	200	-52
2	1	DAF	0	18	99	100	1	173	200	-52
2	1	DAF	0	18	100	100	0	176	200	-51
2	1	DAF	0	18	0	100	100	185	200	-52
2	1	DAF	0	18	96	100	4	181	200	-52
